id;proper;con;mag;dist;spect;ci;lum;x;y;z
65839;Dofida;Cen;7.17;37.9651;G2V;0.603;1.701374815899198;-23.693773;-10.109418;-27.888234
89653;Kaus Media;Sgr;2.72;106.6098;K3III;1.38;808.3510373900685;8.460232;-92.098382;-53.027575
70532;Elgafar;Vir;4.81;36.2582;G2III;0.693;13.639548675066385;-28.915866;-21.829712;-1.409548
20483;Beemim;Eri;3.97;90.8265;K4III;1.468;185.5239575549284;30.609599;68.780131;-50.811792
36087;Gomeisa;CMi;2.89;49.5786;B8Vvar;-0.097;149.41699574067007;-18.209817;45.556204;7.147858
25542;Nihal;Lep;2.81;49.1642;G5II;0.807;158.1976398601154;6.349344;45.531613;-17.425966
108030;Itonda;Gru;7.47;45.8505;G2V:;0.568;1.882781836734675;31.177482;-18.487777;-28.079086
26142;Meissa;Ori;3.39;336.7003;O...;-0.16;4349.106072324538;35.907504;329.702779;58.086365
87665;Barnard's Star;Oph;9.54;1.8238;sdM4;1.57;0.0004425883723626;-0.017373;-1.816613;0.149123
91566;Xihe;Lyr;6.04;139.47;G8;1.04;64.9830363484238;21.185517;-110.010103;83.070331
19730;Rhombus;Ret;3.33;49.554;G7III;0.915;99.54054173515264;10.180685;20.514413;-43.944776
42990;Ashlesha;Hya;3.38;39.6354;G0III-IV;0.685;60.81350012787179;-26.198413;29.410867;4.431082
92854;;Sgr;8.37;100000.0;A0IV;0.058;3908408.957924025;20710.506613;-79423.964908;-57121.875967
82263;Xamidimura;Sco;3.0;153.6098;B1.5IV + B;-0.2;1296.5820353826284;-35.43289;-115.66204;-94.671563
80579;Wolf 1061;Oph;10.1;4.2922;M4;1.604;0.0014628506869998;-1.597477;-3.871023;-0.940865
33492;Adhara;CMa;1.5;124.2236;B2II;-0.211;3375.981048554255;-27.497987;105.141608;-60.171969
91487;Struve 2398 B;Dra;9.7;3.4545;K5;1.561;0.0013702505971242;0.324167;-1.716358;2.980381
118084;p Eridani;Eri;5.8;8.1466;K2 V;0.86;0.276694164541151;4.110128;1.912046;-6.7701
27298;Saiph;Ori;2.07;198.4127;B0.5Iavar;-0.168;5095.654806081146;10.444137;195.314937;-33.326707
110467;Lionrock;Aqr;7.6;131.0616;G8IV;0.882;13.639548675066385;115.004344;-49.379339;-38.895048
57545;;Cen;8.89;100000.0;B3IV/V;0.106;2421029.04673618;-50927.261236;2176.856711;-86032.989939
76100;Zubenelhakrabi;Lib;3.91;50.025;K0III;1.007;59.48397740692212;-28.510476;-39.071229;-12.769777
109784;Lang-Exster;Tuc;2.87;61.237;K3III;1.39;232.2736796357105;27.447381;-13.018072;-53.171301
24549;Capella;Aur;0.08;13.1234;M1: comp;0.795;139.3156802945302;1.712633;8.954439;9.440007
76835;Unukalhai;Ser;2.63;22.6757;K2III;1.167;39.73745050614631;-12.5786;-18.695648;2.537718
82022;Atria;TrA;1.91;119.7605;K2IIb-IIIa;1.447;2151.7905703397573;-13.127447;-40.804561;-111.826781
